creator_id,creator_name,creator_nickname,region,product_categories,follower_cnt,creator_oecuid,主页
7157999425485407237,yingguojun6,yingguojun6,GB,,0,7494798443164895885,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7157999425485407237&pair_source=author_recommend&enter_from=affiliate_home_page
7129344444259992582,_juxin,Rainbowsmile,GB,,0,7494709733293525247,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7129344444259992582&pair_source=author_recommend&enter_from=affiliate_home_page
7152750408505984006,eva_slippers,dkdhchs,GB,,0,7494781991832684697,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7152750408505984006&pair_source=author_recommend&enter_from=affiliate_home_page
7142378768656958469,richardr641,richardr641,GB,,0,7494750053722983333,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7142378768656958469&pair_source=author_recommend&enter_from=affiliate_home_page
7152695700693730309,lpp1237,Lop,GB,,0,7494781831972752087,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7152695700693730309&pair_source=author_recommend&enter_from=affiliate_home_page
7153521400522212357,zxcasdqwet,Select officer,GB,男装与男士内衣,0,7494784450057963984,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7153521400522212357&pair_source=author_recommend&enter_from=affiliate_home_page
7151290971853161477,shujin30,user6840043058383,GB,,0,7494777368274962751,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7151290971853161477&pair_source=author_recommend&enter_from=affiliate_home_page
7158242946705245189,yingguojun15,user02760599485,GB,,0,7494799138114209800,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7158242946705245189&pair_source=author_recommend&enter_from=affiliate_home_page
7152694471120552966,lqq1230,Low,GB,,0,7494781829051812281,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7152694471120552966&pair_source=author_recommend&enter_from=affiliate_home_page
7159058120756200454,lou_bon,user52514993606,GB,,0,7494801632257608046,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7159058120756200454&pair_source=author_recommend&enter_from=affiliate_home_page
7153579686588384262,gobuy81,user52792844826,GB,,0,7494784700271200978,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7153579686588384262&pair_source=author_recommend&enter_from=affiliate_home_page
7152825207970923525,haroldj9632,haro,GB,,0,7494782207055923361,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7152825207970923525&pair_source=author_recommend&enter_from=affiliate_home_page
7153877796917691398,lac_alin,user99642068238,GB,,0,7494785596771699188,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7153877796917691398&pair_source=author_recommend&enter_from=affiliate_home_page
7153911539165807622,uk_ttk,user23511786995,GB,,0,7494785695687018660,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7153911539165807622&pair_source=author_recommend&enter_from=affiliate_home_page
7159057069844120582,tyo_gan,user76157609304,GB,,0,7494801630535452793,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7159057069844120582&pair_source=author_recommend&enter_from=affiliate_home_page
7154177057677050886,lily_maty,user52572368333,GB,,0,7494786523760724513,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7154177057677050886&pair_source=author_recommend&enter_from=affiliate_home_page
7151641987287155718,kimi_ash,user55152952321,GB,,0,7494778456101783679,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7151641987287155718&pair_source=author_recommend&enter_from=affiliate_home_page
7154185150347658246,adam_aily,user24830740841,GB,,0,7494786548418513277,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7154185150347658246&pair_source=author_recommend&enter_from=affiliate_home_page
7154251634942542854,tk_ote,user70234039021,GB,,0,7494786760477870581,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7154251634942542854&pair_source=author_recommend&enter_from=affiliate_home_page
